LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ332-0073|At length it was agreed to march to the Holy City; but the progress made was so slow and painful, that the soldiers murmured,
LJ332-0074|The weather was hot and dry, and there was little water to be procured.
LJ332-0075|Saladin had choked up the wells and cisterns on the route, and the army had not zeal enough to push forward amid such privation.
LJ332-0076|At Bethlehem a council was held, to debate whether they should retreat or advance.
LJ332-0077|Retreat was decided upon, and immediately commenced.
LJ332-0078|It is said, that Richard was first led to a hill, whence he could obtain a sight of the towers of Jerusalem, and
LJ333-0001|The army separated into two divisions, the smaller falling back upon Jaffa, and the larger,
LJ333-0002|His very name put the Saracens to flight, so great was their dread of his prowess.
LJ333-0003|A truce was concluded for three years and eight months, during which Christian pilgrims were to enjoy the liberty of visiting Jerusalem
LJ333-0004|The Crusaders were allowed to retain the cities of Tyre and Jaffa, with the country intervening.
LJ333-0005|Saladin, with a princely generosity, invited many of the Christians to visit Jerusalem; and several of the leaders took advantage of his offer
LJ333-0006|Richard and Saladin never met, though the impression that they did will remain on many minds,
LJ333-0007|But each admired the prowess and nobleness of soul of his rival, and agreed to terms far less onerous than either would have accepted,
LJ333-0008|Richard left a high reputation in Palestine.
LJ333-0009|So much terror did his name occasion, that the women of Syria used it to frighten their children for ages afterwards.
LJ333-0010|Every disobedient child became still when told that King Richard was coming.
LJ333-0011|Even men shared the panic that his name created; and a hundred years afterwards, whenever a horse shied at any object in the way,
LJ333-0012|[end footnote]
LJ333-0013|The king of England no longer delayed his departure, for messengers from his own country brought imperative news that his presence was required
LJ333-0014|His long imprisonment in the Austrian dominions and final ransom are too well known to be dwelt upon.
LJ333-0015|And thus ended the third Crusade, less destructive of human life than the two first, but quite as useless.
LJ333-0016|The flame of popular enthusiasm now burned pale indeed, and all the efforts of popes and potentates were insufficient to rekindle it.
LJ333-0017|At last, after flickering unsteadily, like a lamp expiring in the socket, it burned up brightly for one final instant,
LJ333-0018|At the death of Saladin, which happened a year after the conclusion of his truce with Richard of England,
LJ333-0019|his vast empire fell to pieces.
LJ333-0020|But every nation in Europe was unwilling and cold towards it.
LJ333-0021|The people had no ardour, and kings were occupied with more weighty matters at home.
LJ333-0022|They landed in Palestine, and found anything but a welcome from the Christian inhabitants.
LJ333-0023|Under the mild sway of Saladin, they had enjoyed repose and toleration, and both were endangered by the arrival of the Germans.
LJ333-0024|They looked upon them in consequence as over-officious intruders, and gave them no encouragement in the warfare against Saphaddin.
LJ333-0025|not only to embitter the Saracens against the Christians of Judea, but to lose the strong city of Jaffa, and cause the destruction
LJ333-0026|And so ended the fourth Crusade.
LJ333-0027|The fifth was more important, and had a result which its projectors never dreamed of-- no less than the sacking of Constantinople,
LJ333-0028|that of maintaining by every possible means the papal ascendency.
LJ333-0029|Such being their object, they never inquired whether a Crusade was or was not likely to be successful,
LJ333-0030|But John and Philip Augustus were both engaged.
LJ333-0031|Both had deeply offended the Church, and had been laid under her ban, and both were occupied in important reforms at home;
LJ333-0032|Philip in bestowing immunities upon his subjects, and John in having them forced from him.
LJ333-0033|The emissaries of the pope therefore plied them in vain; but as in the first and second Crusades, the eloquence of a powerful preacher
LJ333-0034|Chance favoured him to a degree he did not himself expect, for he had in general found but few proselytes, and those few but cold in the cause.
LJ333-0035|Upwards of two thousand knights were present with their retainers, besides a vast concourse of people to witness the sports.
LJ333-0036|he addressed the multitude in eloquent language, and passionately called upon them to enroll themselves for the new Crusade.
LJ333-0037|young, ardent, and easily excited, received the cross at his hands.
LJ333-0038|The enthusiasm spread rapidly.
LJ333-0039|The popular frenzy seemed on the point of breaking out as in the days of yore.
LJ333-0040|The Count of Flanders, the Count of Bar,
LJ333-0041|The dangers of an overland journey were too well understood, and the Crusaders endeavoured to make a contract with some of the Italian states
LJ333-0042|Every means was tried to raise money;
LJ333-0043|the Crusaders melted down their plate, and ladies gave up their trinkets.
LJ333-0044|Contributions were solicited from the faithful, but came in so slowly as to make it evident to all concerned, that the faithful of Europe
LJ333-0045|The Crusaders consented, much to the displeasure of the pope, who threatened excommunication upon all who should be turned aside from the voyage to Jerusalem.
LJ333-0046|But notwithstanding the fulminations of the Church, the expedition never reached Palestine.
LJ333-0047|The siege of Zara was speedily undertaken.
LJ333-0048|After a long and brave defence, the city surrendered at discretion, and the Crusaders were free, if they had so chosen it,
LJ333-0049|But the ambition of the chiefs had been directed, by unforeseen circumstances, elsewhere.
LJ333-0050|His son Alexius II. had succeeded him, but was murdered after a short reign by his uncle
LJ333-0051|His reign also was but of short duration.
LJ333-0052|The offer was accepted, with a proviso on the part of some of the leaders, that they should be free to abandon the design, if it met
LJ333-0053|But this was not to be feared.
LJ333-0054|The submission of the schismatic Greeks to the See of Rome was a greater bribe to the Pontiff than the
LJ333-0055|Their operations were skilfully and courageously directed, and spread such dismay as to paralyse the efforts of the usurper
LJ333-0056|His son Alexius IV. was afterwards associated with him in the sovereignty.
LJ333-0057|Alexius at first endeavoured to persuade his subjects to admission,
LJ333-0058|He soon became unpopular with his subjects; and breaking faith with regard to the subsidies, he offended the Crusaders.
LJ333-0059|War was at length declared upon him by both parties; by his people for his tyranny, and by his former friends for his treachery.
LJ333-0060|He was seized in his palace by his own guards and thrown into prison, while the Crusaders were making ready to besiege his capital.
LJ333-0061|The French and Venetians entered into a treaty for the division of the spoils among their soldiery; for so confident were they of success, that failure
LJ333-0062|Their numbers were as a mere handful in comparison with those which he could have brought against them; and
LJ333-0063|After an impetuous assault, repulsed for one day, but renewed with double impetuosity on another,
LJ333-0064|The wealth they found was enormous.
LJ333-0065|In money alone there was sufficient to distribute twenty marks of silver to each knight, ten to each squire or servant at arms,
LJ333-0066|Jewels, velvets, silks, and every luxury of attire, with rare wines and fruits,
LJ333-0067|valuable merchandise of every description, also fell into their hands, and were bought by the trading Venetians,
LJ333-0068|Two thousand persons were put to the sword; but had there been less plunder to take up the attention of the victors,
LJ333-0069|In many of the bloody wars which defile the page of history, we find that soldiers, utterly reckless of the works of God,
LJ333-0070|man, with unsparing brutality, but linger with respect round the beautiful works of art.
LJ333-0071|They will slaughter women and children, but spare a picture;
LJ333-0072|The finely-chiselled marble, which could be put to no such vile uses, was also destroyed with a recklessness, if possible, still more atrocious.
LJ333-0073|2nd. The statue of Paris, presenting the apple to Venus.
LJ333-0074|3rd. An immense bronze pyramid, crowned by a female figure, which turned with the wind.
LJ333-0075|Under the inner nail of the horse's hind foot on the left side, was found a seal wrapped in a woollen cloth.
LJ333-0076|A figure of Hercules, by Lysimachus, of such vast dimensions that the thumb was equal in circumference to the waist of a man.
LJ333-0077|The Ass and his Driver, cast by order of Augustus after the battle of Actium, in commemoration of his having discovered
LJ333-0078|7th. The Wolf suckling the Twins of Rome.
LJ333-0079|8th. The gladiator in combat with a lion.
LJ333-0080|9th. The Hippopotamus.
LJ333-0081|10th. The Sphinxes.
LJ333-0082|11th. An Eagle fighting with a Serpent.
LJ333-0083|A group, with a monster somewhat resembling a bull, engaged in deadly conflict with a serpent;
LJ333-0084|and many other works of art, too numerous to mention.
LJ333-0085|The carnage being over, and the spoil distributed, six persons were chosen from among the Franks and six from among the Venetians,
LJ333-0086|previously binding themselves by oath to select the individual best qualified among the candidates.
LJ333-0087|but fell eventually upon the former.
LJ333-0088|He was straightway robed in the imperial purple, and became the founder of a new dynasty.
LJ333-0089|He did not live long to enjoy his power, or to consolidate it for his successors, who, in their turn, were soon swept away.
LJ333-0090|In less than sixty years the rule of the Franks at Constantinople was brought to as sudden and disastrous a termination
LJ333-0091|Pope Innocent III., although he had looked with no very unfavourable eye upon these proceedings, regretted
LJ333-0092|still, upon every convenient occasion, he enforced the necessity of a new Crusade.
LJ333-0093|Until the year 1213, his exhortations had no other effect than to keep the subject in the mind of Europe.
LJ333-0094|Every spring and summer detachments of pilgrims continued to set out for Palestine to the aid of their brethren, but
LJ333-0095|These did not consist entirely of soldiers, armed against the Saracen, but of pilgrims led by devotion, and
LJ333-0096|An immense number of boys and girls, amounting, according to some accounts, to thirty thousand,
LJ333-0097|They were no doubt composed of the idle and deserted children who generally swarm in great cities,
LJ333-0098|The object of the monks seems to have been the atrocious one of inveigling them into slave-ships, on pretence of sending them to Syria,
LJ333-0099|The remainder arrived safely in Africa, and were bought up as slaves, and sent off into the interior of the country.
LJ333-0100|Another detachment arrived at Genoa; but the accomplices in this horrid plot having taken no measures at that port,
LJ434-0001|When such doctrines as these were openly promulgated by the highest authority in the realm, and who, in promulgating them, flattered,
LJ434-0002|but did not force the public opinion, it is not surprising that the sad delusion should have increased and multiplied
LJ434-0003|The reputation which he lost by being afraid of a naked sword, he more than regained by his courage in combating the devil.
LJ434-0004|The Kirk shewed itself a most zealous coadjutor, especially during those halcyon days
LJ434-0005|On his accession to the throne of England in 1603,
LJ434-0006|He himself left no part of his ancient prejudices behind him; and his advent was the signal for the persecution
LJ434-0007|It had languished a little during the latter years of the reign of Elizabeth; but the very first parliament of King James brought forward the subject.
LJ434-0008|James was flattered by their promptitude, and the act passed in 1604.
LJ434-0009|On the second reading in the House of Lords, the bill passed into a committee, in which were twelve bishops.
LJ434-0010|"By it was enacted, ""That if any person shall use, practise, or exercise any conjuration of any wicked or evil spirit,"
LJ434-0011|or shall consult, covenant with, or feed any such spirit, the first offence to be imprisonment for a year,
LJ434-0012|"the second offence to be death."""
LJ434-0013|The minor punishment seems but rarely to have been inflicted.
LJ434-0014|During the whole of James's reign, amid the civil wars of his successor, the sway of the Long Parliament,
LJ434-0015|If at any time it raged with less virulence, it was when Cromwell and the Independents were masters.
LJ434-0016|During the first eighty years of the seventeenth century, the number executed has been estimated at five hundred annually,
LJ434-0017|Some of these cases deserve to be cited.
LJ434-0018|The great majority resemble closely those already mentioned; but two or three of them let in a new light upon the popular superstition.
LJ434-0019|A villanous boy, named Robinson, was the chief actor in the tragedy.
LJ434-0020|The time of this famous trial was about the year 1634.
LJ434-0021|This boy Robinson, whose father was a wood-cutter, residing on the borders of Pendle Forest, in Lancashire,
LJ434-0022|These rumours coming to the ears of the local magistracy, the boy was sent for and strictly examined.
LJ434-0023|He said, that as he was roaming about in one of the glades of the forest, amusing himself by gathering blackberries,
LJ434-0024|Being fond of sport, he proposed to have a course; and a hare being started, he incited the hounds to run.
LJ434-0025|Neither of them would stir.
LJ434-0026|Angry at the beasts, he seized hold of a switch, with which he was about to punish them,
LJ434-0027|She offered him some money to induce him to sell his soul to the devil; but he refused.
LJ434-0028|Upon this she took a bridle out of her pocket, and shaking it over the head of the other little boy, he was instantly turned into a horse.
LJ434-0029|Mother Dickenson then seized him in her arms, sprang upon the horse, and placing him before her,
LJ434-0030|There he saw seven old women pulling at seven halters which hung from the roof.
LJ434-0031|As they pulled, large pieces of meat, lumps of butter, loaves of bread, basins of milk,
LJ434-0032|While engaged in this charm, they made such ugly faces, and looked so fiendish, that he was quite frightened.
LJ434-0033|After they had pulled in this manner enough for an ample feast, they set-to, and shewed,
LJ434-0034|In consequence of this story, many persons were arrested,
LJ434-0035|Altogether, about twenty persons were thrown into prison; eight of them were condemned to die, including Mother Dickenson,
LJ434-0036|Among the wretches who concocted this notable story, not one was ever brought to justice for his perjury; and Robinson, the father,
LJ434-0037|This vulgar fellow resided, in the year 1644, at the town of Manningtree, in Essex,
LJ434-0038|The credit he gained by his skill in this instance seems to have inspired him to renewed exertions.
LJ434-0039|In one year he brought sixty poor creatures to the stake.
LJ434-0040|The test he commonly adopted was that of swimming, so highly recommended by King James in his “Demonologie”.
LJ434-0041|They were then wrapped up in a large sheet or blanket, and laid upon their backs in a pond or river.
LJ434-0042|If they sank, their friends and relatives had the poor consolation of knowing they were innocent; but there was an end of them:
LJ434-0043|if they floated, which, when laid carefully on the water, was generally the case, there was also an end of them;
LJ434-0044|If she missed a word, or even pronounced one incoherently, which in her trepidation it was most probable she would, she was accounted guilty.
LJ434-0045|Thus the conscious innocence of many persons, which gave them fortitude to bear unmerited torture without flinching,
LJ434-0046|In some districts the test resorted to was to weigh the culprit against the church Bible.
LJ434-0047|Hopkins used to travel through his counties like a man of consideration, attended by his two assistants,
LJ434-0048|His charges were twenty shillings a town, his expenses of living while there, and his carriage thither and back.
LJ434-0049|For about three years he carried on this infamous trade, success making him so insolent and rapacious that high and low became his enemies.
LJ434-0050|Hopkins replied in an angry letter to the functionaries of Houghton, stating his intention to visit their town; but desiring to know
LJ434-0051|"He added, by way of threat, that in case he did not receive a satisfactory reply, ""he would waive their shire altogether,"
LJ434-0052|The authorities of Houghton were not much alarmed at this awful threat of letting them alone. They very wisely took no notice either of him or his letter.
LJ434-0053|It was a proof even more atrocious than the swimming.
LJ434-0054|If she refused to sit in this manner, she was bound with strong cords.
LJ434-0055|Hopkins then placed persons to watch her for four-and-twenty hours, during which time she was to be kept without meat or drink.
LJ434-0056|As the imp might come in the shape of a wasp, a moth, a fly, or other insect, a hole was made in the door or window to let it enter.
LJ434-0057|The watchers were ordered to keep a sharp look out, and endeavour to kill any insect that appeared in the room.
LJ434-0058|If any fly escaped, and they could not kill it, the woman was guilty;
LJ434-0059|In this manner he made one old woman confess, because four flies had appeared in the room, that she was attended by four imps, named
LJ434-0060|It is consoling to think that this impostor perished in his own snare.
LJ434-0061|Mr. Gaul's exposure and his own rapacity weakened his influence among the magistrates;
LJ434-0062|He was beset by a mob at a village in Suffolk, and accused of being himself a wizard.
LJ434-0063|An old reproach was brought against him, that he had, by means of sorcery, cheated the devil out of a certain memorandum-book,
LJ434-0064|In vain he denied his guilt.
LJ434-0065|populace longed to put him to his own test. He was speedily stripped, and his thumbs and toes tied together.
LJ434-0066|He was then placed in a blanket, and cast into a pond.
LJ434-0067|Others assert that he was drowned. This much is positive, that there was an end of him.
LJ434-0068|He found two marks of the devil's making; for she could not feel the pin when it was put into either of the said marks,
LJ434-0069|When she was asked where she thought the pins were put in her, she pointed to a part of her body distant from the real place.
LJ434-0070|These common prickers became at last so numerous that they were considered nuisances.
LJ434-0071|The judges refused to take their evidence; and in 1678 the privy council of Scotland condescended to hear the complaint of an honest woman
LJ434-0072|But such an opinion was not formed in high places before hundreds of innocent persons had fallen victims.
LJ434-0073|The parliaments had encouraged the delusion both in England and Scotland; and by arming these fellows with a sort of authority, had in a manner
LJ434-0074|The fate of one poor old gentleman, who fell a victim to the arts of Hopkins in 1646, deserves to be recorded.
LJ434-0075|Being a violent royalist, he was likely to meet with no sympathy at that time; and even his own parishioners,
LJ434-0076|Placed under the hands of Hopkins, who knew so well how to bring the refractory to confession, the old man,
LJ434-0077|He said he had two imps that continually excited him to do evil; and that one day, when he was walking on the sea-coast,
LJ434-0078|He consented, and saw the vessel sink before his eyes.
LJ434-0079|He was, upon this confession, tried and condemned.
LJ434-0080|On his trial, the flame of reason burned up as brightly as ever.
LJ434-0081|He denied all that had been alleged against him, and cross-examined Hopkins with great tact and severity.
LJ434-0082|After his condemnation, he begged that the funeral service of the Church might be read for him.
LJ434-0083|John Bain, a common pricker, swore that, as he passed her door, he heard her talking to the devil.
LJ434-0084|She said, in defence, that it was a foolish practice she had of talking to herself, and several of her neighbours corroborated her statement;
LJ434-0085|but the evidence of the pricker was received.
LJ434-0086|The devil's mark being found upon her,
LJ434-0087|Before country justices, condemnations on the most absurd evidence still continued; but when the judges of the land had to charge the jury,
LJ434-0088|By degrees, the educated classes (comprised in those days within very narrow limits)
LJ434-0089|Sir Matthew Hale
LJ434-0090|But though progress was made, it was slow.
LJ434-0091|In 1664, the venerable Sir Matthew Hale condemned two women, named Amy Duny and Rose Cullender,
LJ434-0092|Indignant at the prejudice against them, they were not sparing of their abuse.
LJ434-0093|Shortly afterward, the daughter of the herring-dealer fell sick, and a cry was raised that she was bewitched by the old women
LJ434-0094|This girl was subject to epileptic fits.
LJ434-0095|Upon this evidence they were sent to prison.
LJ434-0096|This, however, was not received in favour of the accused.
LJ434-0097|The following extract, from the published reports of the trial, will shew the sort of evidence which was received: “
LJ434-0098|his younger daughter, Deborah, about nine years old, was suddenly taken so lame that she could not stand on her legs,
LJ434-0099|and, while she was sitting there, Amy Duny came to this examinant's house to buy some herrings, but was denied.
LJ434-0100|Then she came twice more, but, being as often denied, she went away discontented and grumbling.
LJ434-0101|Both children grievously complained that Amy Duny and another woman, whose habit and looks they described, did appear to them
LJ434-0102|and sometimes so sore, that they could not bear to be touched.
LJ434-0103|Sometimes they were perfectly well in other respects, but they could not hear;
LJ434-0104|at other times they could not see.
LJ434-0105|Sometimes they lost their speech for one, two, and once for eight days together.
LJ434-0106|The nail and pins were produced in the court. Thus the children continued for two months, during which time
LJ434-0107|Finding his children thus tormented without hopes of recovery, he sent them to his sister, Margaret Arnold, at Yarmouth,
LJ434-0108|"""Margaret Arnold was the next witness."
LJ434-0109|Being sworn, she said, that about the 30th of November, Elizabeth and Deborah Pacey came to her house, with her brother, who told her what had happened,
LJ434-0110|She, this examinant, did not much regard it, supposing the children had played tricks, and put the pins into their mouths themselves
LJ434-0111|She therefore took all the pins from their clothes, sewing them with thread instead of pinning them.
LJ434-0112|in which fits they would cry out upon Amy Duny and Rose Cullender, saying, that they saw them and heard them threatening, as before;
LJ434-0113|Another time the younger child, being out of doors, a thing like a bee would have forced itself into her mouth,
LJ434-0114|After that, this examinant asked the child how she came by this nail, when she answered, 'The bee brought the nail, and forced it into my mouth.'
LJ434-0115|At other times, the eldest child told this examinant that she saw flies bring her crooked pins.
LJ434-0116|She would then fall into a fit, and vomit such pins.
LJ434-0117|One time the said child said she saw a mouse, and crept under the table to look for it; and afterwards,
LJ434-0118|She then ran to the fire, and threw it in, on which there did appear to this examinant something like a flash of gunpowder,
LJ434-0119|At last the child catched at something, and threw it into the fire.
LJ434-0120|Afterwards, when the child could speak, this examinant asked her what she saw at the time?
LJ434-0121|She answered that she saw a duck.
LJ434-0122|"Another time they both cried out upon Amy Duny and Rose Cullender, saying, 'Why don't you come yourselves? Why do you send your imps to torment us?'"""
LJ434-0123|Sir Thomas Brown,
LJ434-0124|The celebrated Sir Thomas Brown, the author of Vulgar Errors, was also examined as a witness upon the trial.
LJ434-0125|That he thought, in such cases, the devil acted upon human bodies by natural means,
LJ434-0126|namely, by exciting and stirring up the superabundant humours;
LJ434-0127|The evidence being concluded, Sir Matthew Hale addressed the jury.
LJ434-0128|He said, he would waive repeating the evidence, to prevent any mistake, and told the jury there were two things they had to inquire into.
LJ434-0129|He said, he did not in the least doubt there were witches;
LJ434-0130|first, because the Scriptures affirmed it;
LJ434-0131|He desired them strictly to observe the evidence, and begged of God to direct their hearts in the weighty concern they had in hand, since,
LJ434-0132|The jury then retired, and in about half an hour returned a verdict of guilty upon all the indictments, being thirteen in number.
LJ434-0133|The next morning the children came with their father to the lodgings of Sir Matthew Hale, very well, and quite restored to their usual health.
LJ435-0001|The evidence was of the usual character; but Holt appealed so successfully in each case to the common sense of the jury,
LJ435-0002|A general feeling seemed to pervade the country that blood enough had been shed upon these absurd charges.
LJ435-0003|Now and then, the flame of persecution burnt up in a remote district; but these instances were no longer looked upon as mere matters of course.
LJ435-0004|They appear, on the contrary, to have excited much attention; a sure proof, if no other were to be obtained, that they were becoming unfrequent.
LJ435-0005|A witness, named Mr. Arthur Chauncy, deposed, that he had seen Ann Thorne in several of her fits,
LJ435-0006|He related, that he had pricked the prisoner several times in the arms, but could never fetch any blood from her;
LJ435-0007|that he had seen her vomit pins, when there were none in her clothes or within her reach; and that he had preserved several of them, which he was ready to produce.
LJ435-0008|The judge, however, told him that was needless, as he supposed they were crooked pins.
LJ435-0009|He went into a room where some of these feathers were, and took two of the cakes, and compared them together.
LJ435-0010|They were both of a circular figure, something larger than a crown piece; and he observed that the small feathers were placed in a nice and curious order,
LJ435-0011|He counted the number of these feathers, and found them to be exactly thirty-two in each cake.
LJ435-0012|He afterwards endeavoured to pull off two or three of them, and observed that they were all fastened together by a sort of viscous matter,
LJ435-0013|Having taken off several of these feathers, he removed the viscous matter with his fingers, and found under it, in the centre,
LJ435-0014|The judge interrupted the witness at this stage, and said, he should very much like to see an enchanted feather,
LJ435-0015|His lordship asked the witness why he did not keep one or two of them, and was informed that they had all been burnt,
LJ435-0016|A man, named Thomas Ireland, deposed, that hearing several times a great noise of cats crying and screaming about his house,
LJ435-0017|One of them he swore positively had a face very like Jane Wenham's.
LJ435-0018|Another man, named Burville, gave similar evidence, and swore that he had often seen a cat with Jane Wenham's face.
LJ435-0019|Upon one occasion he was in Ann Thorne's chamber, when several cats came in, and among them the cat above stated.
LJ435-0020|This witness would have favoured the court with a much longer statement, but was stopped by the judge, who said he had heard quite enough.
LJ435-0021|"The prisoner, in her defence, said nothing, but that ""she was a clear woman."""
LJ435-0022|The learned judge then summed up, leaving it to the jury to determine whether such evidence as they had heard
LJ435-0023|After a long deliberation they brought in their verdict, that she was guilty upon the evidence.
LJ435-0024|The judge then asked them whether they found her guilty upon the indictment of conversing with the devil in the shape of a cat?
LJ435-0025|"The sapient foreman very gravely answered, ""We find her guilty of that."""
LJ435-0026|In the year 1716,
LJ435-0027|This appears to have been the last judicial execution in England.
LJ435-0028|From that time to the year 1736, the populace raised at intervals the old cry,
LJ435-0029|and more than once endangered the lives of poor women by dragging them through ponds on suspicion;
LJ435-0030|but the philosophy of those who, from their position, sooner or later give the tone to the opinions and morals of the poor,
LJ435-0031|The fear of witches ceased to be epidemic, and became individual,
LJ435-0032|In the year 1736, the penal statute of James I. was finally blotted from the statute-book, and suffered no longer
LJ435-0033|Pretenders to witchcraft, fortune-tellers, conjurors, and all their train,
LJ435-0034|In Scotland, the delusion also assumed the same phases, and was gradually extinguished in the light of civilisation.
LJ435-0035|As in England, the progress of improvement was slow.
LJ435-0036|Up to the year 1665, little or no diminution of the mania was perceptible.
LJ435-0037|In 1643, the General Assembly recommended that the privy council should institute a standing commission, composed of any
LJ435-0038|In 1649, an act was passed, confirmatory of the original statute of Queen Mary,
LJ435-0039|but against all who covenanted with them, or sought by their means to pry into the secrets of futurity, or cause any evil to the life,
LJ435-0040|For the next ten years, the popular madness upon this subject was perhaps more furious than ever;
LJ435-0041|upwards of four thousand persons suffered for the crime during that interval.
LJ435-0042|This was the consequence of the act of parliament and the unparalleled severity of the magistrates;
LJ435-0043|they never thought that they themselves were the cause of the increase.
LJ435-0044|Next year, the violence of the persecution seems to have abated.
LJ435-0045|a fact which alone proves that the superior court sifted the evidence in these cases
LJ435-0046|This was reversing the old practice, and saved many innocent lives.
LJ435-0047|"In his work on the Criminal Law of Scotland, published in 1678, he says, ""From the horridness of this crime,"
LJ435-0048|The views entertained by Sir George Mackenzie were so favourably received by the Lords of Session, that he was deputed, in 1680,
LJ435-0049|Sir George stated that there was no evidence against them whatever but their own confessions, which were absurd and contradictory,
LJ435-0050|They were immediately discharged.
LJ435-0051|But in 1697 a case occurred which equalled in absurdity any of those that signalised the dark reign of King James.
LJ435-0052|Her story unfortunately was believed.
LJ435-0053|Encouraged to tell all the persecutions of the devil which the maid had sent to torment her,
LJ435-0054|she in the end concocted a romance that involved twenty-one persons.
LJ435-0055|There was no other evidence against them but the fancies of this lying child, and the confessions which pain had extorted from them;
LJ435-0056|They were burned on the Green at Paisley.
LJ435-0057|This trial excited considerable disgust in Scotland.
LJ435-0058|"The Rev. Mr. Bell, a contemporary writer, observed that, in this business, ""persons of more goodness and esteem"
LJ435-0059|After this trial, there again occurs a lapse of seven years, when the subject was painfully forced upon public attention
LJ435-0060|They were cast into prison, and tortured until they confessed.
LJ435-0061|On her approach to the town she was unfortunately met by a furious mob, composed principally of fishermen and their wives,
LJ435-0062|They forced her away to the sea-shore, and tying a rope around her body, secured the end of it to the mast of a fishing-boat lying alongside.
LJ435-0063|Here, as she lay quite insensible, a brawny ruffian took down the door of his hut, close by, and placed it on her back.
LJ435-0064|No magistrate made the slightest attempt to interfere;
LJ435-0065|and the soldiers looked on,
LJ435-0066|delighted spectators.
LJ435-0067|A great outcry was raised against this culpable remissness,
LJ435-0068|but no judicial inquiry was set on foot.
LJ435-0069|This happened in 1704.
LJ435-0070|Again there is a long interval.
LJ435-0071|A silly fellow, named William Montgomery, a carpenter, had a mortal antipathy to cats;
LJ435-0072|and somehow or other these animals generally chose his back-yard as the scene of their catterwaulings.
LJ435-0073|He puzzled his brains for a long time to know why he, above all his neighbours, should be so pestered.
LJ435-0074|In this opinion he was supported by his maid-servant, who swore a round oath that she had often heard the aforesaid cats
LJ435-0075|The next time the unlucky tabbies assembled in his back-yard, the valiant carpenter was on the alert.
LJ435-0076|Arming himself with an axe, a dirk, and a broadsword, he rushed out among them.
LJ435-0077|A few days afterwards, two old women of the parish died; and it was said, that when their bodies were laid out,
LJ435-0078|The carpenter and his maid were convinced that they were the very cats, and the whole county repeated the same story.
LJ435-0079|Everyone was upon the look-out for proofs corroborative;
LJ435-0080|a very remarkable one was soon discovered.
LJ435-0081|Nanny Gilbert, a wretched old creature of upwards of seventy years of age, was found in bed with her leg broken.
LJ435-0082|As she was ugly enough for a witch, it was asserted that she also was one of the cats that had fared so ill at the hands of the carpenter.
LJ435-0083|Nanny was immediately dragged from her bed and thrown into prison.
LJ435-0084|Before she was put to the torture, she explained in a very natural and intelligible manner how she had broken her limb;
LJ435-0085|Dundas himself examined the precognition with great care, and was so convinced of the utter folly of the whole case,
LJ435-0086|In spite of the warning he had received that all such cases were to be tried in future by the superior courts,
LJ435-0087|that she had used this daughter as a pony in her excursions to join the devil's sabbath, and that the devil himself had shod her,
LJ435-0088|The penal statutes were repealed in 1736; and, as in England, whipping,
LJ435-0089|Still for many years after this the superstition lingered both in England and Scotland, and in some districts
LJ435-0090|But before we proceed to trace it any further than to its legal extinction, we have yet to see the frightful havoc it made
LJ435-0091|France, Germany, and Switzerland were the countries which suffered most from the epidemic.
LJ435-0092|The number of victims in these countries during the sixteenth century has already been mentioned; but at the early part of the seventeenth,
LJ435-0093|Satan was believed to be at every body's call to raise the whirlwind, draw down the lightning,
LJ435-0094|and praised him for the blessings of the seed-time and the harvest, were convinced that frail humanity could enter into a compact
LJ435-0095|It is impossible to search the records of those dark, but now happily non-existing tribunals; but the mind recoils with affright
LJ435-0096|"""The trial of this offence must not be conducted like other crimes. Whoever adheres to the ordinary course of justice"
LJ435-0097|perverts the spirit of the law, both divine and human. He who is accused of sorcery should never be acquitted,
LJ435-0098|unless the malice of the prosecutor be clearer than the sun; for it is so difficult to bring full proof of this secret crime,
LJ435-0099|If the prisoner muttered, looked on the ground, and did not shed any tears, all these were proofs positive of guilt!
LJ435-0100|although not to be believed upon their oaths on the ordinary occasions of dispute that might arise between man and man, were to be believed,
LJ435-0101|the district of Bamberg its four hundred?
LJ435-0102|A few of these trials may be cited, taking them in the order of priority, as they occurred in different parts of the Continent.
LJ435-0103|In 1595, an old woman residing in a village near Constance, angry at not being invited
LJ435-0104|to share the sports of the country people on a day of public rejoicing, was heard to mutter something to herself,
LJ435-0105|A violent thunder-storm arose about two hours afterwards, which wet the dancers to the skin, and did considerable damage to the plantations.
LJ435-0106|About the same time two sorcerers in Toulouse were accused of having dragged a crucifix about the streets at midnight,
LJ435-0107|The next day a hail-storm did considerable damage to the crops; and a girl, the daughter of a shoemaker in the town,
LJ435-0108|Her story led to their arrest.
LJ435-0109|The usual means to produce confession were resorted to.
LJ435-0110|The wizards owned that they could raise tempests whenever they pleased, and named several persons who possessed similar powers.
LJ435-0111|bringing down the lightning of heaven, and making maidens bring forth toads.
LJ435-0112|To this latter fact several girls were found to swear most positively!
LJ435-0113|others made women go with child three years instead of nine months;
LJ435-0114|while others, by certain invocations and ceremonies, could turn the faces of their enemies upside down, or twist them round to their backs.
LJ435-0115|Nothing more was wanting to ensure the stake.
LJ435-0116|They then vanished with a horrid noise, and leaving a disagreeable smell behind them.
LJ217-0001|One woman, suspected of witchcraft, was seized because, having immoderately praised the beauty of a child,
